number,type,gu,area,room,lat,long
574,다가구,도봉구,585.52,11,37.6461062,127.0422599
575,다가구,도봉구,465.19,8,37.6406259,127.0509172
576,다가구,도봉구,587.6,10,37.6766531,127.0400863
577,다가구,도봉구,416.62,7,37.6755187,127.0410101
578,다가구,도봉구,551.16,11,37.6755187,127.0410101
579,다가구,도봉구,283.58,8,37.6766531,127.0400863
580,다가구,도봉구,316.71,8,37.67299,127.04186
581,다가구,도봉구,412.58,8,37.6409762,127.0483177
582,다가구,도봉구,424.77,8,37.6409762,127.0483177
583,다가구,도봉구,452.73,10,37.674343,127.0382468
584,다가구,서대문구,455.78,22,37.589635,126.9281963
585,다가구,강서구,241.68,4,37.5591636,126.838807
586,다가구,강서구,294.21,5,37.5591636,126.838807
587,다가구,강서구,294.18,5,37.5591636,126.838807
588,다가구,강서구,274.17,5,37.5591636,126.838807
589,다가구,도봉구,600.28,10,37.6755187,127.0410101
590,다가구,도봉구,606.06,9,37.6755187,127.0410101
591,다가구,도봉구,356.64,6,37.6755187,127.0410101
592,다가구,강서구,593.4,10,37.5475635,126.8595606
593,다가구,강북구,434.85,8,37.6641616,127.0194659
594,다가구,금천구,415.83,8,37.4680602,126.9165404
595,다가구,도봉구,586.74,12,37.6395129,127.050492
596,다가구,은평구,586.85,11,37.6340971,126.9237294
597,다가구,구로구,380.33,8,37.5095154,126.8509471
598,다가구,금천구,570.82,17,37.4692659,126.9078621
599,다가구,중랑구,543.01,11,37.5965182,127.1075141
600,다가구,중랑구,501.36,10,37.5979039,127.1074988
601,다가구,도봉구,595.13,12,37.6648385,127.0348246
602,다가구,도봉구,334.52,7,37.6766531,127.0400863
603,다가구,도봉구,591.71,11,37.6759023,127.0438365
604,다가구,강북구,310.99,8,37.6500299,127.0199437
605,다가구,강북구,503.47,10,37.6509532,127.0149411
606,다가구,강북구,590.64,11,37.6500299,127.0199437
607,다가구,은평구,138.27,16,37.5998135,126.9140957
608,다가구,양천구,588.16,10,37.5352163,126.8442472
609,다가구,양천구,586.57,11,37.535345,126.8435355
610,다가구,도봉구,587.56,10,37.66755,127.0454288
611,다가구,도봉구,475.22,10,37.6601268,127.0624121
612,다가구,도봉구,323.28,7,37.6449293,127.0483975
613,다가구,도봉구,604.25,12,37.6449293,127.0483975
614,다가구,도봉구,462.84,8,37.6406259,127.0509172
615,다가구,도봉구,464.68,8,37.6406259,127.0509172
616,다가구,도봉구,346.75,8,37.642158,127.0469473
617,다가구,도봉구,565,10,37.6424085,127.0463574
618,다가구,도봉구,473.45,8,37.6566915,127.0304791
619,다가구,도봉구,415.45,8,37.6566915,127.0304791
620,다가구,은평구,353.59,20,37.6121161,126.9204945
621,다가구,도봉구,491.73,10,37.6395129,127.050492
622,다가구,도봉구,364.08,8,37.6895983,127.0520798
623,다가구,도봉구,336.31,8,37.6449293,127.0483975
624,다가구,도봉구,491.4,10,37.6395129,127.050492
625,다가구,도봉구,457.47,10,37.6449293,127.0483975
626,다가구,도봉구,363.39,8,37.6888496,127.0514231
627,다가구,노원구,587.09,12,37.64347,127.07918
628,다가구,노원구,594.43,11,37.64347,127.07918
629,다가구,노원구,547.65,10,37.6431231,127.0806272
630,다가구,노원구,427.71,8,37.6431231,127.0806272
631,다가구,노원구,453.26,8,37.6431231,127.0806272
632,다가구,노원구,472.2,10,37.6431231,127.0806272
633,다가구,서대문구,578.78,10,37.599438,126.9407972
634,다가구,서대문구,170.2,4,37.599438,126.9407972
